t,Code,Year,world-regions-according-to-the-united-nations
Afghanistan,AFG,2021,Central and Southern Asia
Aland Islands,,2021,Europe and Northern America
Albania,ALB,2021,Europe and Northern America
Algeria,DZA,2021,Northern Africa and Western Asia
American Samoa,ASM,2021,Oceania
Andorra,AND,2021,Europe and Northern America
Angola,AGO,2021,Sub-Saharan Africa
Anguilla,AIA,2021,Latin America and Caribbean
Antigua and Barbuda,ATG,2021,Latin America and Caribbean
Argentina,ARG,2021,Latin America and Caribbean
Armenia,ARM,2021,Northern Africa and Western Asia
Aruba,ABW,2021,Latin America and Caribbean
Australia,AUS,2021,Oceania
Austria,AUT,2021,Europe and Northern America
Azerbaijan,AZE,2021,Northern Africa and Western Asia
Bahamas,BHS,2021,Latin America and Caribbean
Bahrain,BHR,2021,Northern Africa and Western Asia
Bangladesh,BGD,2021,Central and Southern Asia
Barbados,BRB,2021,Latin America and Caribbean
Belarus,BLR,2021,Europe and Northern America
Belgium,BEL,2021,Europe and Northern America
Belize,BLZ,2021,Latin America and Caribbean
Benin,BEN,2021,Sub-Saharan Africa
Bermuda,BMU,2021,Europe and Northern America
Bhutan,BTN,2021,Central and Southern Asia
Bolivia,BOL,2021,Latin America and Caribbean
Bonaire Sint Eustatius and Saba,BES,2021,Latin America and Caribbean
Bosnia and Herzegovina,BIH,2021,Europe and Northern America
Botswana,BWA,2021,Sub-Saharan Africa
Brazil,BRA,2021,Latin America and Caribbean
British Virgin Islands,VGB,2021,Latin America and Caribbean
Brunei,BRN,2021,Eastern and South-Eastern Asia
Bulgaria,BGR,2021,Europe and Northern America
Burkina Faso,BFA,2021,Sub-Saharan Africa
Burundi,BDI,2021,Sub-Saharan Africa
Cambodia,KHM,2021,Eastern and South-Eastern Asia
Cameroon,CMR,2021,Sub-Saharan Africa
Canada,CAN,2021,Europe and Northern America
Cape Verde,CPV,2021,Sub-Saharan Africa
Cayman Islands,CYM,2021,Latin America and Caribbean
Central African Republic,CAF,2021,Sub-Saharan Africa
Chad,TCD,2021,Sub-Saharan Africa
Channel Islands,OWID_CIS,2021,Europe and Northern America
Chile,CHL,2021,Latin America and Caribbean
China,CHN,2021,Eastern and South-Eastern Asia
Christmas Island,CXR,2021,Oceania
Cocos (Keeling) Islands,,2021,Oceania
Colombia,COL,2021,Latin America and Caribbean
Comoros,COM,2021,Sub-Saharan Africa
Congo,COG,2021,Sub-Saharan Africa
Cook Islands,COK,2021,Oceania
Costa Rica,CRI,2021,Latin America and Caribbean
Cote d'Ivoire,CIV,2021,Sub-Saharan Africa
Croatia,HRV,2021,Europe and Northern America
Cuba,CUB,2021,Latin America and Caribbean
Curacao,CUW,2021,Latin America and Caribbean
Cyprus,CYP,2021,Northern Africa and Western Asia
Czechia,CZE,2021,Europe and Northern America
Democratic Republic of Congo,COD,2021,Sub-Saharan Africa
Denmark,DNK,2021,Europe and Northern America
Djibouti,DJI,2021,Middle East and North Africa
Dominica,DMA,2021,Latin America and Caribbean
Dominican Republic,DOM,2021,Latin America and Caribbean
Ecuador,ECU,2021,Latin America and Caribbean
Egypt,EGY,2021,Northern Africa and Western Asia
El Salvador,SLV,2021,Latin America and Caribbean
Equatorial Guinea,GNQ,2021,Sub-Saharan Africa
Eritrea,ERI,2021,Sub-Saharan Africa
Estonia,EST,2021,Europe and Northern America
Eswatini,SWZ,2021,Sub-Saharan Africa
Ethiopia,ETH,2021,Sub-Saharan Africa
Faeroe Islands,FRO,2021,Europe and Northern America
Falkland Islands,FLK,2021,Latin America and Caribbean
Fiji,FJI,2021,Oceania
Finland,FIN,2021,Europe and Northern America
France,FRA,2021,Europe and Northern America
French Guiana,GUF,2021,Latin America and Caribbean
French Polynesia,PYF,2021,Oceania
Gabon,GAB,2021,Sub-Saharan Africa
Gambia,GMB,2021,Sub-Saharan Africa
Georgia,GEO,2021,Northern Africa and Western Asia
Germany,DEU,2021,Europe and Northern America
Ghana,GHA,2021,Sub-Saharan Africa
Gibraltar,GIB,2021,Europe and Northern America
Greece,GRC,2021,Europe and Northern America
Greenland,GRL,2021,Europe and Northern America
Grenada,GRD,2021,Latin America and Caribbean
Guadeloupe,GLP,2021,Latin America and Caribbean
Guam,GUM,2021,Oceania
Guatemala,GTM,2021,Latin America and Caribbean
Guinea,GIN,2021,Sub-Saharan Africa
Guinea-Bissau,GNB,2021,Sub-Saharan Africa
Guyana,GUY,2021,Latin America and Caribbean
Haiti,HTI,2021,Latin America and Caribbean
Heard Island and McDonald Islands,HMD,2021,Oceania
Honduras,HND,2021,Latin America and Caribbean
Hong Kong,HKG,2021,Eastern and South-Eastern Asia
Hungary,HUN,2021,Europe and Northern America
Iceland,ISL,2021,Europe and Northern America
India,IND,2021,Central and Southern Asia
Indonesia,IDN,2021,Eastern and South-Eastern Asia
Iran,IRN,2021,Central and Southern Asia
Iraq,IRQ,2021,Northern Africa and Western Asia
Ireland,IRL,2021,Europe and Northern America
Isle of Man,IMN,2021,Europe and Northern America
Israel,ISR,2021,Northern Africa and Western Asia
Italy,ITA,2021,Europe and Northern America
Jamaica,JAM,2021,Latin America and Caribbean
Japan,JPN,2021,Eastern and South-Eastern Asia
Jordan,JOR,2021,Northern Africa and Western Asia
Kazakhstan,KAZ,2021,Central and Southern Asia
Kenya,KEN,2021,Sub-Saharan Africa
Kiribati,KIR,2021,Oceania
Kosovo,OWID_KOS,2021,Europe and Northern America
Kuwait,KWT,2021,Northern Africa and Western Asia
Kyrgyzstan,KGZ,2021,Central and Southern Asia
Laos,LAO,2021,Eastern and South-Eastern Asia
Latvia,LVA,2021,Europe and Northern America
Lebanon,LBN,2021,Northern Africa and Western Asia
Lesotho,LSO,2021,Sub-Saharan Africa
Liberia,LBR,2021,Sub-Saharan Africa
Libya,LBY,2021,Northern Africa and Western Asia
Liechtenstein,LIE,2021,Europe and Northern America
Lithuania,LTU,2021,Europe and Northern America
Luxembourg,LUX,2021,Europe and Northern America
Macao,MAC,2021,Eastern and South-Eastern Asia
Madagascar,MDG,2021,Sub-Saharan Africa
Malawi,MWI,2021,Sub-Saharan Africa
Malaysia,MYS,2021,Eastern and South-Eastern Asia
Maldives,MDV,2021,Central and Southern Asia
Mali,MLI,2021,Sub-Saharan Africa
Malta,MLT,2021,Europe and Northern America
Marshall Islands,MHL,2021,Oceania
Martinique,MTQ,2021,Latin America and Caribbean
Mauritania,MRT,2021,Sub-Saharan Africa
