qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_milliseconds
1,18,1,1,22,1,00:01:27,00:01:25,00:01:27,87000
2,18,9,2,4,2,00:01:26,00:01:25,00:01:27,86000
3,18,5,1,23,3,00:01:26,00:01:25,00:01:27,86000
4,18,13,6,2,4,00:01:26,00:01:26,00:01:27,86000
5,18,2,2,3,5,00:01:26,00:01:26,00:01:27,86000
6,18,15,7,11,6,00:01:26,00:01:26,00:01:29,86000
7,18,3,3,7,7,00:01:26,00:01:26,00:01:29,86000
8,18,14,9,9,8,00:01:26,00:01:26,00:01:29,86000
9,18,10,7,12,9,00:01:27,00:01:26,00:01:30,87000
10,18,20,5,15,10,00:01:27,00:01:26,\N,87000
11,18,22,11,17,11,00:01:26,00:01:26,\N,86000
12,18,4,4,5,12,00:01:27,00:01:26,\N,87000
13,18,18,11,16,13,00:01:27,00:01:26,\N,87000
14,18,6,3,8,14,00:01:27,00:01:26,\N,87000
15,18,17,9,10,15,00:01:27,\N,\N,87000
16,18,8,6,1,16,00:01:26,\N,\N,86000
17,18,21,10,21,17,00:01:27,\N,\N,87000
18,18,7,5,14,18,00:01:27,\N,\N,87000
19,18,16,10,20,19,00:01:28,\N,\N,88000
20,18,11,8,18,20,00:01:28,\N,\N,88000
21,18,12,4,6,21,00:01:28,\N,\N,88000
22,18,19,8,19,22,00:01:29,\N,\N,89000
23,19,13,6,2,1,00:01:35,00:01:34,00:01:36,95000
24,19,8,6,1,2,00:01:36,00:01:34,00:01:36,96000
25,19,5,1,23,3,00:01:35,00:01:35,00:01:37,95000
26,19,1,1,22,4,00:01:35,00:01:35,00:01:37,95000
27,19,15,7,11,5,00:01:35,00:01:35,00:01:37,95000
28,19,9,2,4,6,00:01:36,00:01:35,00:01:37,96000
29,19,2,2,3,7,00:01:36,00:01:35,00:01:37,96000
30,19,17,9,10,8,00:01:35,00:01:35,00:01:37,95000
31,19,4,4,5,9,00:01:36,00:01:35,00:01:38,96000
32,19,10,7,12,10,00:01:36,00:01:35,00:01:40,96000
33,19,18,11,16,11,00:01:36,00:01:35,\N,96000
34,19,14,9,9,12,00:01:36,00:01:35,\N,96000
35,19,12,4,6,13,00:01:36,00:01:36,\N,96000
36,19,22,11,17,14,00:01:36,00:01:36,\N,96000
37,19,20,5,15,15,00:01:36,00:01:36,\N,96000
38,19,3,3,7,16,00:01:36,00:01:36,\N,96000
39,19,21,10,21,17,00:01:36,\N,\N,96000
40,19,6,3,8,18,00:01:36,\N,\N,96000
41,19,7,5,14,19,00:01:37,\N,\N,97000
42,19,11,8,18,20,00:01:37,\N,\N,97000
43,19,16,10,20,21,00:01:37,\N,\N,97000
44,19,19,8,19,22,00:01:37,\N,\N,97000
45,20,9,2,4,1,00:01:33,00:01:32,00:01:33,93000
46,20,13,6,2,2,00:01:32,00:01:31,00:01:33,92000
47,20,1,1,22,3,00:01:33,00:01:32,00:01:33,93000
48,20,8,6,1,4,00:01:33,00:01:32,00:01:33,93000
49,20,5,1,23,5,00:01:33,00:01:32,00:01:33,93000
50,20,2,2,3,6,00:01:33,00:01:32,00:01:34,93000
51,20,15,7,11,7,00:01:32,00:01:32,00:01:34,92000
52,20,3,3,7,8,00:01:33,00:01:32,00:01:34,93000
53,20,18,11,16,9,00:01:33,00:01:32,00:01:35,93000
54,20,4,4,5,10,00:01:33,00:01:32,00:01:35,93000
55,20,17,9,10,11,00:01:33,00:01:32,\N,93000
56,20,22,11,17,12,00:01:33,00:01:33,\N,93000
57,20,10,7,12,13,00:01:33,00:01:33,\N,93000
58,20,12,4,6,14,00:01:33,00:01:33,\N,93000
59,20,7,5,14,15,00:01:33,00:01:33,\N,93000
60,20,6,3,8,16,00:01:33,00:01:33,\N,93000
61,20,14,9,9,17,00:01:33,\N,\N,93000
62,20,21,10,21,18,00:01:34,\N,\N,94000
63,20,20,5,15,19,00:01:34,\N,\N,94000
64,20,16,10,20,20,00:01:34,\N,\N,94000
65,20,19,8,19,21,00:01:34,\N,\N,94000
66,20,11,8,18,22,00:01:36,\N,\N,96000
67,21,8,6,1,1,00:01:21,00:01:21,00:01:22,81000
68,21,4,4,5,2,00:01:21,00:01:21,00:01:22,81000
69,21,13,6,2,3,00:01:22,00:01:21,00:01:22,82000
70,21,9,2,4,4,00:01:21,00:01:21,00:01:22,81000
71,21,1,1,22,5,00:01:21,00:01:21,00:01:22,81000
72,21,5,1,23,6,00:01:21,00:01:21,00:01:22,81000
73,21,17,9,10,7,00:01:21,00:01:21,00:01:22,81000
74,21,15,7,11,8,00:01:21,00:01:21,00:01:23,81000
75,21,2,2,3,9,00:01:21,00:01:21,00:01:23,81000
76,21,12,4,6,10,00:01:21,00:01:21,00:01:23,81000
77,21,22,11,17,11,00:01:22,00:01:21,\N,82000
78,21,6,3,8,12,00:01:22,00:01:21,\N,82000
79,21,18,11,16,13,00:01:22,00:01:21,\N,82000
80,21,10,7,12,14,00:01:21,00:01:21,\N,81000
81,21,3,3,7,15,00:01:21,00:01:21,\N,81000
82,21,7,5,14,16,00:01:22,00:01:22,\N,82000
83,21,14,9,9,17,00:01:22,\N,\N,82000
84,21,20,5,15,18,00:01:22,\N,\N,82000
85,21,21,10,21,19,00:01:23,\N,\N,83000
86,21,16,10,20,20,00:01:23,\N,\N,83000
87,21,19,8,19,21,00:01:23,\N,\N,83000
88,21,11,8,18,22,00:01:23,\N,\N,83000
89,22,13,6,2,1,00:01:26,00:01:26,00:01:28,86000
90,22,5,1,23,2,00:01:27,00:01:26,00:01:28,87000
91,22,1,1,22,3,00:01:26,00:01:26,00:01:28,86000
92,22,8,6,1,4,00:01:26,00:01:26,00:01:28,86000
93,22,9,2,4,5,00:01:27,00:01:26,00:01:28,87000
94,22,17,9,10,6,00:01:27,00:01:26,00:01:28,87000
95,22,4,4,5,7,00:01:27,00:01:27,00:01:28,87000
96,22,15,7,11,8,00:01:27,00:01:27,00:01:29,87000
97,22,2,2,3,9,00:01:27,00:01:28,00:01:29,87000
98,22,14,9,9,10,00:01:27,00:01:27,00:01:30,87000
99,22,3,3,7,11,00:01:27,00:01:27,\N,87000
100,22,22,11,17,12,00:01:27,00:01:27,\N,87000
101,22,18,11,16,13,00:01:27,00:01:27,\N,87000
102,22,20,5,15,14,00:01:27,00:01:27,\N,87000
103,22,10,7,12,15,00:01:27,00:01:28,\N,87000
104,22,6,3,8,16,00:01:28,\N,\N,88000
105,22,12,4,6,17,00:01:28,\N,\N,88000
106,22,7,5,14,18,00:01:28,\N,\N,88000
107,22,21,10,21,19,00:01:28,\N,\N,88000
108,22,16,10,20,20,00:01:28,\N,\N,88000
109,23,13,6,2,1,00:01:15,00:01:15,00:01:16,75000
110,23,8,6,1,2,00:01:16,00:01:15,00:01:16,76000
111,23,1,1,22,3,00:01:16,00:01:15,00:01:16,76000
112,23,5,1,23,4,00:01:15,00:01:15,00:01:16,75000
113,23,9,2,4,5,00:01:16,00:01:15,00:01:16,76000
114,23,3,3,7,6,00:01:16,00:01:15,00:01:17,76000
115,23,4,4,5,7,00:01:17,00:01:16,00:01:17,77000
116,23,15,7,11,8,00:01:16,00:01:16,00:01:17,76000
117,23,17,9,10,9,00:01:16,00:01:16,00:01:17,76000
118,23,14,9,9,10,00:01:16,00:01:16,\N,76000
119,23,10,7,12,11,00:01:16,00:01:16,\N,76000
120,23,18,11,16,12,00:01:16,00:01:16,\N,76000
121,23,2,2,3,13,00:01:17,00:01:16,\N,77000
122,23,6,3,8,14,00:01:17,00:01:16,\N,77000
123,23,22,11,17,15,00:01:16,00:01:17,\N,76000
124,23,7,5,14,16,00:01:17,\N,\N,77000
125,23,12,4,6,17,00:01:17,\N,\N,77000
126,23,20,5,15,18,00:01:17,\N,\N,77000
127,23,16,10,20,19,00:01:17,\N,\N,77000
128,23,21,10,21,20,00:01:18,\N,\N,78000
129,24,1,1,22,1,00:01:17,00:01:17,00:01:18,77000
130,24,9,2,4,2,00:01:17,00:01:18,00:01:18,77000
131,24,8,6,1,3,00:01:17,00:01:17,00:01:19,77000
132,24,4,4,5,4,00:01:17,00:01:17,00:01:19,77000
133,24,3,3,7,5,00:01:18,00:01:18,00:01:19,78000
134,24,13,6,2,6,00:01:17,00:01:17,00:01:19,77000
135,24,5,1,23,7,00:01:17,00:01:18,00:01:19,77000
136,24,2,2,3,8,00:01:18,00:01:18,00:01:20,78000
137,24,22,11,17,9,00:01:18,00:01:18,00:01:21,78000
138,24,17,9,10,10,00:01:18,00:01:18,\N,78000
139,24,10,7,12,11,00:01:18,00:01:18,\N,78000
140,24,6,3,8,12,00:01:18,00:01:18,\N,78000
141,24,14,9,9,13,00:01:18,00:01:18,\N,78000
142,24,15,7,11,14,00:01:18,00:01:18,\N,78000
143,24,12,4,6,15,00:01:19,00:01:18,\N,79000
144,24,7,5,14,16,00:01:19,\N,\N,79000
145,24,16,10,20,17,00:01:19,\N,\N,79000
146,24,21,10,21,18,00:01:19,\N,\N,79000
147,24,18,11,16,19,00:01:24,\N,\N,84000
148,24,20,5,15,20,\N,\N,\N,0
149,25,8,6,1,1,00:01:15,00:01:15,00:01:16,75000
150,25,13,6,2,2,00:01:15,00:01:15,00:01:16,75000
151,25,1,1,22,3,00:01:16,00:01:15,00:01:17,76000
152,25,4,4,5,4,00:01:16,00:01:15,00:01:17,76000
153,25,15,7,11,5,00:01:16,00:01:15,00:01:17,76000
154,25,5,1,23,6,00:01:16,00:01:16,00:01:17,76000
155,25,9,2,4,7,00:01:16,00:01:16,00:01:17,76000
156,25,17,9,10,8,00:01:16,00:01:15,00:01:17,76000
157,25,14,9,9,9,00:01:16,00:01:16,00:01:17,76000
