raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1,1950,1,1,Australian Grand Prix,29/3/2009,06:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2,1950,2,2,Malaysian Grand Prix,5/4/2009,09:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
3,1950,3,17,Chinese Grand Prix,19/4/2009,07:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4,1950,4,3,Bahrain Grand Prix,26/4/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5,1950,5,4,Spanish Grand Prix,10/5/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
6,1950,6,6,Monaco Grand Prix,24/5/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7,1950,7,5,Turkish Grand Prix,7/6/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8,1951,1,9,British Grand Prix,21/6/2009,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
9,1951,2,20,German Grand Prix,12/7/2009,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
10,1951,3,11,Hungarian Grand Prix,26/7/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
11,1951,4,12,European Grand Prix,23/8/2009,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
12,1951,5,13,Belgian Grand Prix,30/8/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
13,1951,6,14,Italian Grand Prix,13/9/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
14,1951,7,15,Singapore Grand Prix,27/9/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
15,1951,8,22,Japanese Grand Prix,4/10/2009,05:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
16,1952,1,18,Brazilian Grand Prix,18/10/2009,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
17,1952,2,24,Abu Dhabi Grand Prix,1/11/2009,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
18,1952,3,1,Australian Grand Prix,16/3/2008,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
19,1952,4,2,Malaysian Grand Prix,23/3/2008,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
20,1952,5,3,Bahrain Grand Prix,6/4/2008,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
21,1952,6,4,Spanish Grand Prix,27/4/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
22,1952,7,5,Turkish Grand Prix,11/5/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
23,1952,8,6,Monaco Grand Prix,25/5/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
24,1953,1,7,Canadian Grand Prix,8/6/2008,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
25,1953,2,8,French Grand Prix,22/6/2008,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
26,1953,3,9,British Grand Prix,6/7/2008,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
27,1953,4,10,German Grand Prix,20/7/2008,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
28,1953,5,11,Hungarian Grand Prix,3/8/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
29,1953,6,12,European Grand Prix,24/8/2008,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
30,1953,7,13,Belgian Grand Prix,7/9/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
31,1953,8,14,Italian Grand Prix,14/9/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
32,1953,9,15,Singapore Grand Prix,28/9/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
33,1954,1,16,Japanese Grand Prix,12/10/2008,04:30:00,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
34,1954,2,17,Chinese Grand Prix,19/10/2008,07:00:00,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
35,1954,3,18,Brazilian Grand Prix,2/11/2008,17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
36,1954,4,1,Australian Grand Prix,18/3/2007,03:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
37,1954,5,2,Malaysian Grand Prix,8/4/2007,07:00:00,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
38,1954,6,3,Bahrain Grand Prix,15/4/2007,11:30:00,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
39,1954,7,4,Spanish Grand Prix,13/5/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
40,1954,8,6,Monaco Grand Prix,27/5/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
41,1954,9,7,Canadian Grand Prix,10/6/2007,17:00:00,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
42,1955,1,19,United States Grand Prix,17/6/2007,17:00:00,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
43,1955,2,8,French Grand Prix,1/7/2007,12:00:00,http://en.wikipedia.org/wiki/2007_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
